129, 0.251254 0.199589 0.272018 0.125644 0.158098 0.309327 0.206807 0.224022 0.245927 0.246157 0.17863 0.153624;
130, 0.254652 0.204337 0.267482 0.132622 0.158533 0.313192 0.216747 0.233274 0.250414 0.250935 0.17512 0.17351;
131, 0.25279 0.211725 0.261417 0.139161 0.169046 0.316281 0.222887 0.24036 0.261572 0.253469 0.166401 0.182829;
132, 0.254679 0.216904 0.258067 0.137568 0.171359 0.315298 0.232597 0.246836 0.272206 0.255949 0.167794 0.196022;
133, 0.254931 0.22143 0.253294 0.135625 0.18174 0.313195 0.235212 0.24977 0.281035 0.256189 0.174287 0.200583;
134, 0.252489 0.221602 0.251675 0.135885 0.187627 0.306087 0.23577 0.25209 0.287813 0.256818 0.18532 0.201567;
135, 0.254632 0.223127 0.251797 0.129754 0.195881 0.300072 0.233439 0.249603 0.291072 0.255206 0.197175 0.198334;
136, 0.253309 0.2221 0.252525 0.129202 0.195758 0.298633 0.224599 0.24447 0.291624 0.249921 0.217146 0.196963;
137, 0.252677 0.220315 0.252216 0.131125 0.196806 0.300369 0.217786 0.235377 0.287969 0.246696 0.231293 0.187016;
138, 0.247338 0.223255 0.252777 0.136578 0.197419 0.303299 0.209113 0.224547 0.28146 0.241425 0.232622 0.179312;
139, 0.24344 0.221503 0.25234 0.140015 0.199363 0.30468 0.205208 0.21007 0.27245 0.23275 0.227424 0.16595;
140, 0.240282 0.219092 0.254173 0.137728 0.202641 0.306192 0.208185 0.204129 0.266523 0.224971 0.218448 0.153968;
141, 0.232146 0.216152 0.252879 0.141987 0.210865 0.30874 0.214343 0.197082 0.264366 0.218441 0.211521 0.13788;
142, 0.230661 0.215046 0.250074 0.141868 0.21109 0.310954 0.216727 0.197813 0.260999 0.219004 0.203684 0.127853;
143, 0.232854 0.214976 0.2486 0.137298 0.210246 0.311641 0.219305 0.198268 0.257179 0.217648 0.200819 0.132123;
144, 0.230559 0.21281 0.244821 0.141707 0.204461 0.310433 0.221139 0.197578 0.256342 0.219641 0.202077 0.135183;
145, 0.233997 0.213842 0.247815 0.137843 0.20288 0.311058 0.218394 0.195181 0.254351 0.219627 0.198756 0.136627 accobeat 117.454;
146, 0.235802 0.209389 0.252575 0.138088 0.198556 0.310082 0.214798 0.193911 0.251724 0.216778 0.200188 0.132649;
147, 0.241652 0.204897 0.256109 0.136224 0.197264 0.310936 0.207452 0.190521 0.248282 0.215156 0.205461 0.128999;
148, 0.242958 0.198984 0.259098 0.13711 0.199416 0.312026 0.200325 0.18456 0.246069 0.217176 0.203124 0.120544;
149, 0.245959 0.193752 0.262481 0.137024 0.20076 0.310614 0.194396 0.185067 0.244672 0.223166 0.19376 0.117345;
150, 0.246608 0.187781 0.267408 0.139619 0.197586 0.314444 0.191514 0.184651 0.244516 0.224747 0.202466 0.114139;
151, 0.254565 0.182567 0.272778 0.14373 0.195839 0.317263 0.183585 0.188515 0.24579 0.227004 0.213286 0.109465;
